SRS ID,Reads File,Reads File Size,Reads File MD5
SRS014473,/HHS/Illumina/attached_keratinized_gingiva/SRS014473.tar.bz2,3873220342,47dcb8d6485d9a7b5a1998b1c2270977
SRS143729,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS143729.tar.bz2,1661310490,970683f28a621371622d23b9038e3b02
SRS143214,/HHS/Illumina/PHASEII/attached_keratinized_gingiva/SRS143214.tar.bz2,5089468185,3e4684c791c17129a8c64cf8f4cf96cc
SRS019025,/HHS/Illumina/attached_keratinized_gingiva/SRS019025.tar.bz2,540733508,78c202438e8729197f6b1d76981f231d
SRS143728,/HHS/Illumina/PHASEII/buccal_mucosa/SRS143728.tar.bz2,4891645429,dcb5e50d13cc1538d2c2be6b364ad02e
SRS144646,/HHS/Illumina/PHASEII/buccal_mucosa/SRS144646.tar.bz2,3376992295,356c1c4c02fe4c147350e56c4ca97e68
SRS147122,/HHS/Illumina/PHASEII/buccal_mucosa/SRS147122.tar.bz2,3906712309,9e97a4a07dfaeb78ee1d1749ed184fdd
SRS056461,/HHS/Illumina/PHASEII/buccal_mucosa/SRS056461.tar.bz2,9398174930,789c2613ffbfad8e80d97b7e1bf14204
SRS016297,/HHS/Illumina/buccal_mucosa/SRS016297.tar.bz2,204867797,7abbffe4a136575dabaf3e0fb5451532
SRS142791,/HHS/Illumina/PHASEII/buccal_mucosa/SRS142791.tar.bz2,6400824311,dc08d3a33aea91f6dd2f4129bcbd23ee
SRS050007,/HHS/Illumina/buccal_mucosa/SRS050007.tar.bz2,103287267,c6b5fbb727816e1d35bc96a3db66aa61
SRS103943,/HHS/Illumina/PHASEII/buccal_mucosa/SRS103943.tar.bz2,2636580168,41c727bd85a0a81a4d71318c71442e39
SRS143509,/HHS/Illumina/PHASEII/buccal_mucosa/SRS143509.tar.bz2,5276090533,2bb914ba86d95eb16f7eef777b7f7b68
SRS043803,/HHS/Illumina/buccal_mucosa/SRS043803.tar.bz2,371211739,597fc85cd445e4da47e4c68f2690c1f7
SRS057022,/HHS/Illumina/buccal_mucosa/SRS057022.tar.bz2,1060322977,f5191810aabdb854e544501bd2146d3d
SRS014575,/HHS/Illumina/buccal_mucosa/SRS014575.tar.bz2,223042185,174718398d6d5408e8a3652e4a35437a
SRS015895,/HHS/Illumina/buccal_mucosa/SRS015895.tar.bz2,539236940,666488fdaf36816822d1d950b49b9f6b
SRS015921,/HHS/Illumina/buccal_mucosa/SRS015921.tar.bz2,506019241,6bbd3e78dac88e6b1a9ab3d40e31ff17
SRS058186,/HHS/Illumina/buccal_mucosa/SRS058186.tar.bz2,223358291,acab47d32953619df795611ac1c5e77e
SRS017080,/HHS/Illumina/buccal_mucosa/SRS017080.tar.bz2,730883727,638ae91f6df1359f102c45bd80686891
SRS024281,/HHS/Illumina/buccal_mucosa/SRS024281.tar.bz2,2382737068,21b53def156d3c98934699425f70d1a1
SRS022532,/HHS/Illumina/buccal_mucosa/SRS022532.tar.bz2,444067967,ebad3a9d8e582ad66e80cf8f37c77eea
SRS024641,/HHS/Illumina/buccal_mucosa/SRS024641.tar.bz2,40142960,c5de8062c5a9161b0ff4925b5045e3b7
SRS021473,/HHS/Illumina/buccal_mucosa/SRS021473.tar.bz2,700055329,5d8fda2604c33f8f7a8484bbb0212bab
SRS019024,/HHS/Illumina/buccal_mucosa/SRS019024.tar.bz2,224976290,788ed7d032ee433663ba309cbcb60801
SRS019391,/HHS/Illumina/buccal_mucosa/SRS019391.tar.bz2,263891253,499429546ed42ffa67bc8e8bb708474c
SRS019872,/HHS/Illumina/buccal_mucosa/SRS019872.tar.bz2,207953983,2fb9c3977fc54a00bbbd3eac64344d42
SRS023837,/HHS/Illumina/buccal_mucosa/SRS023837.tar.bz2,284779410,f734f72f6757c962aae2900afae78cee
SRS077545,/HHS/Illumina/PHASEII/buccal_mucosa/SRS077545.tar.bz2,5078116633,9f9658b02e79f3ae188ecc3e3ed8c920
SRS023930,/HHS/Illumina/buccal_mucosa/SRS023930.tar.bz2,6268974470,3c6d608c77567cb7e3394a5c244d2f52
SRS063272,/HHS/Illumina/buccal_mucosa/SRS063272.tar.bz2,480903764,f2d6a1e84230294eb1e974fb484511e2
SRS017215,/HHS/Illumina/buccal_mucosa/SRS017215.tar.bz2,3120151339,f4866091343f7dafe68e7ac1ee87b20c
SRS023591,/HHS/Illumina/buccal_mucosa/SRS023591.tar.bz2,201531253,2e6eb66cd3e4a22fe8988d6d546f8886
SRS045049,/HHS/Illumina/buccal_mucosa/SRS045049.tar.bz2,834366498,ca73a5e8cadefaaa33b63d9ed03225a0
SRS016503,/HHS/Illumina/buccal_mucosa/SRS016503.tar.bz2,326604838,762712f179c9b37762a41081f3856fb0
SRS018329,/HHS/Illumina/buccal_mucosa/SRS018329.tar.bz2,1754273457,2e37722e4b2b7057f03d09c49d5b4281
SRS046623,/HHS/Illumina/buccal_mucosa/SRS046623.tar.bz2,422161568,82efb6cf0b96a8e21fc816e2c2bfa6e8
SRS055118,/HHS/Illumina/buccal_mucosa/SRS055118.tar.bz2,457236910,683f91778b63355fad1f7f093d989467
SRS077857,/HHS/Illumina/PHASEII/buccal_mucosa/SRS077857.tar.bz2,7994497398,e93152875832293f1345a27b7b6e372d
SRS052668,/HHS/Illumina/buccal_mucosa/SRS052668.tar.bz2,909310851,b1038596904f5afb248e522237276a1b
SRS102810,/HHS/Illumina/PHASEII/buccal_mucosa/SRS102810.tar.bz2,7418659254,515e20ee2035b612740fe9ab44a448a2
SRS101441,/HHS/Illumina/PHASEII/buccal_mucosa/SRS101441.tar.bz2,6986629794,4ea47dd63c75c540df2bcbf813c25e10
SRS074678,/HHS/Illumina/PHASEII/buccal_mucosa/SRS074678.tar.bz2,8541789434,f115514dc8d377724a46471c4505f9f6
SRS078673,/HHS/Illumina/PHASEII/buccal_mucosa/SRS078673.tar.bz2,7416122264,60bb19c2dba9b71432b70eae29f63c3c
SRS013711,/HHS/Illumina/buccal_mucosa/SRS013711.tar.bz2,751634275,553efd9c091aca753a5da9162eae7673
SRS024017,/HHS/Illumina/buccal_mucosa/SRS024017.tar.bz2,930067873,17e033c1eca98d39d0bc9a745bd44a33
SRS054018,/HHS/Illumina/PHASEII/buccal_mucosa/SRS054018.tar.bz2,6420430567,82341b7c855720c87144734a4a863a64
SRS078427,/HHS/Illumina/PHASEII/buccal_mucosa/SRS078427.tar.bz2,7915218112,79471dc32a360291dcffb1706fa2df99
SRS104259,/HHS/Illumina/PHASEII/buccal_mucosa/SRS104259.tar.bz2,2205661865,bd05394bbfb644a925f4d40a5f89f214
